path	src_ext	svg	pdf	ratio
2010-01-06	hwp	6	6	1.0000
2022년 국립국어원 업무계획	hwp	40	35	1.1429
20250130-hongbo	hwp	4	4	1.0000
2025년 기부·답례품 실적 지자체 보고서_양식	hwpx	30	30	1.0000
21_언어_기출_편집가능본	hwp	15	15	1.0000
KTX	hwp	27	27	1.0000
aift	hwp	77	74	1.0405
atop-equation-01	hwp	1	1	1.0000
basic/BlogForm_BookReview	hwp	1	1	1.0000
basic/BlogForm_MovieReview	hwp	1	1	1.0000
basic/BlogForm_Recipe	hwp	1	1	1.0000
basic/BookReview	hwp	2	2	1.0000
basic/Hyper(hwp2010)	hwp	1	1	1.0000
basic/KTX-003	hwp	1	1	1.0000
basic/KTX	hwp	1	1	1.0000
basic/NewYear_s_Day	hwp	3	3	1.0000
basic/Textmail	hwp	1	1	1.0000
basic/Worldcup_FIFA2010_32	hwp	1	1	1.0000
basic/calendar_year	hwp	2	1	2.0000
basic/english	hwp	1	1	1.0000
basic/interview	hwp	2	2	1.0000
basic/request	hwp	1	1	1.0000
basic/shortcut	hwp	10	1	10.0000
basic/sungeo	hwp	93	94	0.9894
basic/treatise sample	hwp	7	7	1.0000
bitmap	hwp	1	1	1.0000
biz_plan	hwp	6	6	1.0000
calc-cell	hwp	1	1	1.0000
draw-group	hwp	1	1	1.0000
endnote-01	hwp	5	5	1.0000
eq-01	hwp	1	1	1.0000
equation-lim	hwp	1	1	1.0000
exam_eng	hwp	8	8	1.0000
exam_kor	hwp	20	20	1.0000
exam_math	hwp	20	20	1.0000
exam_math_8	hwp	1	1	1.0000
exam_math_no	hwp	20	20	1.0000
exam_science	hwp	4	4	1.0000
exam_social	hwp	4	4	1.0000
field-01	hwp	3	3	1.0000
field-01-memo	hwp	3	3	1.0000
footnote-01	hwp	6	6	1.0000
form-01	hwp	1	1	1.0000
group-box	hwp	1	1	1.0000
group-drawing-02	hwp	1	1	1.0000
h-pen-01	hwp	1	1	1.0000
hwp-img-001	hwp	1	1	1.0000
hwp-multi-001	hwp	10	9	1.1111
hwp-multi-002	hwp	6	6	1.0000
hwp3-sample	hwp	16	16	1.0000
hwp3-sample-hwp5	hwp	15	16	0.9375
hwp3-sample-hwpx	hwpx	15	16	0.9375
hwp3-sample4	hwp	36	36	1.0000
hwp3-sample4-hwp5	hwp	36	36	1.0000
hwp3-sample5	hwp	64	64	1.0000
hwp3-sample5-hwp5	hwp	64	64	1.0000
hwp3-sample5-hwpx	hwpx	64	64	1.0000
hwp_table_test	hwp	3	3	1.0000
hwp_table_test-m	hwp	3	3	1.0000
hwpctl_API_v2.4	hwp	105	105	1.0000
hwpctl_Action_Table__v1.1	hwp	16	16	1.0000
hwpctl_ParameterSetID_Item_v1.2	hwp	75	74	1.0135
hwpx/2024년 1분기 해외직접투자 보도자료 ff	hwp	9	9	1.0000
hwpx/2024년 2분기 해외직접투자 보도자료ff	hwpx	9	9	1.0000
hwpx/2024년 연간 해외직접투자 보도자료 _ ff	hwpx	11	9	1.2222
hwpx/2025년 1분기 해외직접투자 보도자료f	hwpx	9	9	1.0000
hwpx/2025년 2분기 해외직접투자 (최종)	hwpx	9	9	1.0000
hwpx/aift	hwpx	74	74	1.0000
hwpx/blank_hwpx	hwpx	1	1	1.0000
hwpx/form-002	hwpx	10	10	1.0000
hwpx/hwpx-01	hwpx	9	9	1.0000
hwpx/hwpx-02	hwpx	7	5	1.4000
hwpx/hwpx-h-01	hwpx	9	9	1.0000
hwpx/hwpx-h-02	hwpx	9	9	1.0000
hwpx/hwpx-h-03	hwpx	9	9	1.0000
hwpx/issue_157	hwpx	2	2	1.0000
hwpx/issue_241	hwpx	1	1	1.0000
hwpx/mel-001	hwpx	21	20	1.0500
hwpx/ref/ref_empty	hwpx	1	1	1.0000
hwpx/ref/ref_mixed	hwpx	1	1	1.0000
hwpx/ref/ref_table	hwpx	1	1	1.0000
hwpx/ref/ref_text	hwpx	1	1	1.0000
hwpx/table-text	hwpx	1	1	1.0000
img-start-001	hwp	4	3	1.3333
inner-table-01	hwp	2	2	1.0000
issue-505-equations	hwp	4	4	1.0000
issue_265	hwp	16	16	1.0000
k-water-rfp	hwp	27	27	1.0000
kps-ai	hwp	80	77	1.0390
loading-fail-01	hwp	16	14	1.1429
lseg-01-basic	hwp	1	1	1.0000
lseg-02-mixed	hwp	1	1	1.0000
lseg-03-spacing	hwp	1	1	1.0000
lseg-04-indent	hwp	1	1	1.0000
lseg-05-tab	hwp	1	1	1.0000
lseg-06-multisize	hwp	1	1	1.0000
mel-001	hwp	21	20	1.0500
mix-shape-01	hwp	1	1	1.0000
multi-table-001	hwp	2	2	1.0000
multi-table-002	hwp	2	2	1.0000
p122	hwp	1	3	0.3333
pic-crop-01	hwp	1	1	1.0000
pic-in-head-01	hwp	24	22	1.0909
pic-in-head-02	hwp	7	6	1.1667
pic-in-table-01	hwp	24	22	1.0909
pr-149	hwp	1	1	1.0000
pua-test	hwp	1	1	1.0000
re-01-hangul-only-empty-hancom	hwp	1	1	1.0000
re-01-hangul-only-hancom	hwp	1	1	1.0000
re-02-space-count-empty-hancom	hwp	1	1	1.0000
re-02-space-count-hancom	hwp	1	1	1.0000
re-03-latin-only-empty-hancom	hwp	1	1	1.0000
re-03-latin-only-hancom	hwp	1	1	1.0000
re-04-digit-only-empty-hancom	hwp	1	1	1.0000
re-04-digit-only-hancom	hwp	1	1	1.0000
re-05-mixed-koen-empty-hancom	hwp	1	1	1.0000
re-05-mixed-koen-hancom	hwp	1	1	1.0000
re-06-punctuation-empty-hancom	hwp	1	1	1.0000
re-06-punctuation-hancom	hwp	1	1	1.0000
re-align-center-empty-hancom	hwp	1	1	1.0000
re-align-center-hancom	hwp	1	1	1.0000
re-align-justify-empty-hancom	hwp	1	1	1.0000
re-align-justify-hancom	hwp	1	1	1.0000
re-align-left-empty-hancom	hwp	1	1	1.0000
re-align-left-hancom	hwp	1	1	1.0000
re-align-right-empty-hancom	hwp	1	1	1.0000
re-align-right-hancom	hwp	1	1	1.0000
re-eng-mixed-batang-arial-empty-hancom	hwp	1	1	1.0000
re-eng-mixed-batang-empty-hancom	hwp	1	1	1.0000
re-eng-mixed-batangche-empty-hancom	hwp	1	1	1.0000
re-eng-mixed-dotum-empty-hancom	hwp	1	1	1.0000
re-eng-mixed-dotum-times-empty-hancom	hwp	1	1	1.0000
re-eng-mixed-malgun-courier-empty-hancom	hwp	1	1	1.0000
re-eng-mixed-malgun-empty-hancom	hwp	1	1	1.0000
re-eng-mixed-malgun-times-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-batang-arial-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-batang-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-batangche-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-dotum-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-dotum-times-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-malgun-courier-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-malgun-empty-hancom	hwp	1	1	1.0000
re-eng-nospace-malgun-times-empty-hancom	hwp	1	1	1.0000
re-eng-words-batang-arial-empty-hancom	hwp	1	1	1.0000
re-eng-words-batang-empty-hancom	hwp	1	1	1.0000
re-eng-words-batangche-empty-hancom	hwp	1	1	1.0000
re-eng-words-dotum-empty-hancom	hwp	1	1	1.0000
re-eng-words-dotum-times-empty-hancom	hwp	1	1	1.0000
re-eng-words-malgun-courier-empty-hancom	hwp	1	1	1.0000
re-eng-words-malgun-empty-hancom	hwp	1	1	1.0000
re-eng-words-malgun-times-empty-hancom	hwp	1	1	1.0000
re-font-batang-empty-hancom	hwp	1	1	1.0000
re-font-batang-hancom	hwp	1	1	1.0000
re-font-batangche-empty-hancom	hwp	1	1	1.0000
re-font-batangche-hancom	hwp	1	1	1.0000
re-font-dotum-empty-hancom	hwp	1	1	1.0000
re-font-dotum-hancom	hwp	1	1	1.0000
re-font-dotumche-empty-hancom	hwp	1	1	1.0000
re-font-dotumche-hancom	hwp	1	1	1.0000
re-font-gulim-empty-hancom	hwp	1	1	1.0000
re-font-gulim-hancom	hwp	1	1	1.0000
re-font-gulimche-empty-hancom	hwp	1	1	1.0000
re-font-gulimche-hancom	hwp	1	1	1.0000
re-font-malgun-empty-hancom	hwp	1	1	1.0000
re-font-malgun-hancom	hwp	1	1	1.0000
re-mixed-0tr-empty-hancom	hwp	1	1	1.0000
re-mixed-1tr-empty-hancom	hwp	1	1	1.0000
re-mixed-2tr-empty-hancom	hwp	1	1	1.0000
re-mixed-malgun-timesnew-hancom	hwp	1	1	1.0000
re-multisize-10-10-empty-hancom	hwp	1	1	1.0000
re-multisize-10-20-empty-hancom	hwp	1	1	1.0000
re-multisize-8-14-empty-hancom	hwp	1	1	1.0000
shape-group-02	hwp	1	1	1.0000
shift-return	hwp	1	1	1.0000
synam-001	hwp	35	35	1.0000
table-001	hwp	1	1	1.0000
table-004	hwp	1	1	1.0000
table-complex	hwp	4	4	1.0000
table-in-tbox	hwp	2	2	1.0000
table-ipc	hwp	13	10	1.3000
table-vpos-01	hwp	5	5	1.0000
tac-case-001	hwp	1	1	1.0000
tac-case-002	hwp	1	1	1.0000
tac-case-003	hwp	1	1	1.0000
tac-case-004	hwp	1	1	1.0000
tac-case-005	hwp	1	1	1.0000
tac-img-02	hwp	68	66	1.0303
task-001	hwp	1	1	1.0000
text-align-2	hwp	1	1	1.0000
text-align	hwp	1	1	1.0000
복학원서	hwp	1	1	1.0000
통합재정통계(2010.11월)	hwp	2	1	2.0000
통합재정통계(2011.10월)	hwp	2	1	2.0000
통합재정통계(2014.8월)	hwp	1	1	1.0000
표-텍스트	hwpx	1	1	1.0000
한셀OLE	hwp	1	1	1.0000
