exam	pi	rewind	acc_legacy	acc	line_adv_sum	ssot_res	legacy_res
3-09'23 hwp	488	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	489	False	21.3	21.3	21.3	0.0	0.0
3-09'23 hwp	490	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	491	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	492	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	493	False	21.0	21.0	21.0	0.0	0.0
3-09'23 hwp	494	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	495	False	35.4	35.4	35.4	0.0	0.0
3-09'23 hwp	496	False	37.4	37.4	37.4	0.0	0.0
3-09'23 hwp	497	False	35.4	35.4	35.4	0.0	0.0
3-09'23 hwp	498	False	35.4	35.4	35.4	0.0	0.0
3-09'23 hwp	499	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	500	False	28.2	28.2	28.2	0.0	0.0
3-09'23 hwp	501	False	28.2	28.2	28.2	0.0	0.0
3-09'23 hwp	502	False	28.2	28.2	28.2	0.0	0.0
3-09'23 hwp	503	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	504	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	505	False	42.4	42.4	42.4	0.0	0.0
3-09'23 hwp	506	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	507	False	38.4	38.4	38.4	0.0	0.0
3-09'23 hwp	508	False	22.4	22.4	22.4	0.0	0.0
3-09'23 hwp	509	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	510	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	511	False	21.5	21.5	21.5	0.0	0.0
3-09'23 hwp	512	True	18.0	56.1	56.1	0.0	-38.1
3-09'23 hwp	513	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	514	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	515	False	38.1	38.1	38.1	0.0	0.0
3-09'23 hwp	516	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	517	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	518	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	519	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	520	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	521	False	38.4	38.4	38.4	0.0	0.0
3-09'23 hwp	522	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	523	False	28.7	28.7	28.7	0.0	0.0
3-09'23 hwp	524	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	525	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	526	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	527	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	528	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	529	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	530	False	51.7	51.7	51.7	0.0	0.0
3-09'23 hwp	531	False	212.2	212.2	212.2	0.0	0.0
3-09'23 hwp	532	False	51.7	51.7	51.7	0.0	0.0
3-09'23 hwp	533	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	534	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	535	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	536	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	537	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	538	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	539	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	540	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	541	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	542	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	543	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	544	False	38.5	38.5	18.0	20.5	20.5
3-09'23 hwp	545	False	54.1	54.1	54.1	0.0	0.0
3-09'23 hwp	546	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	547	False	21.0	21.0	21.0	0.0	0.0
3-09'23 hwp	548	False	39.1	39.1	39.1	0.0	0.0
3-09'23 hwp	549	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	550	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	551	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	552	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	553	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	554	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	555	False	56.5	56.5	56.5	0.0	0.0
3-09'23 hwp	556	False	42.8	42.8	42.8	0.0	0.0
3-09'23 hwp	557	False	36.7	36.7	36.7	0.0	0.0
3-09'23 hwp	558	False	36.7	36.7	36.7	0.0	0.0
3-09'23 hwp	559	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	560	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	561	False	58.1	58.1	58.1	0.0	0.0
3-09'23 hwp	562	False	59.9	59.9	59.9	0.0	0.0
3-09'23 hwp	563	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	564	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	565	False	36.7	36.7	36.7	0.0	0.0
3-09'23 hwp	566	False	36.7	36.7	36.7	0.0	0.0
3-09'23 hwp	567	False	36.7	36.7	36.7	0.0	0.0
3-09'23 hwp	568	False	36.2	36.2	36.2	0.0	0.0
3-09'23 hwp	569	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	570	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	571	False	38.4	38.4	38.4	0.0	0.0
3-09'23 hwp	572	False	94.9	94.9	97.3	-2.4	-2.4
3-09'23 hwp	573	False	76.9	76.9	79.2	-2.3	-2.3
3-09'23 hwp	574	False	94.9	94.9	97.3	-2.4	-2.4
3-09'23 hwp	575	False	74.5	74.5	76.9	-2.4	-2.4
3-09'23 hwp	576	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	577	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	578	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	579	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	580	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	581	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	582	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	583	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	584	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	585	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	586	False	20.4	20.4	20.4	0.0	0.0
3-09'23 hwp	587	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	588	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	589	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	590	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	591	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	592	False	46.2	46.2	46.2	0.0	0.0
3-09'23 hwp	593	False	35.8	35.8	35.8	0.0	0.0
3-09'23 hwp	594	False	39.6	39.6	39.6	0.0	0.0
3-09'23 hwp	595	False	21.0	21.0	21.0	0.0	0.0
3-09'23 hwp	596	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	597	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	598	True	20.0	38.1	38.1	0.0	-18.1
3-09'23 hwp	599	False	183.3	183.3	183.3	0.0	0.0
3-09'23 hwp	600	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	601	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	602	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	603	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	604	False	41.6	41.6	41.6	0.0	0.0
3-09'23 hwp	605	False	295.0	295.0	450.7	-155.7	-155.7
3-09'23 hwp	606	False	119.3	119.3	125.3	-6.0	-6.0
3-09'23 hwp	607	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	608	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	609	False	67.3	67.3	67.3	0.0	0.0
3-09'23 hwp	610	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	611	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	612	False	38.1	38.1	38.1	0.0	0.0
3-09'23 hwp	613	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	614	False	157.4	157.4	157.4	0.0	0.0
3-09'23 hwp	615	False	38.1	38.1	38.1	0.0	0.0
3-09'23 hwp	616	False	29.2	29.2	29.2	0.0	0.0
3-09'23 hwp	617	False	46.2	46.2	46.2	0.0	0.0
3-09'23 hwp	618	False	164.4	164.4	164.4	0.0	0.0
3-09'23 hwp	619	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	620	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	621	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	622	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	623	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	624	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	625	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	626	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	627	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	628	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	629	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	630	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	631	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	632	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	633	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	634	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	635	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	636	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	637	False	132.1	132.1	132.1	0.0	0.0
3-09'23 hwp	638	False	38.5	38.5	18.0	20.5	20.5
3-09'23 hwp	639	False	28.2	28.2	28.2	0.0	0.0
3-09'23 hwp	640	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	641	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	642	False	28.2	28.2	28.2	0.0	0.0
3-09'23 hwp	643	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	644	False	28.2	28.2	28.2	0.0	0.0
3-09'23 hwp	645	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	646	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	647	False	28.2	28.2	28.2	0.0	0.0
3-09'23 hwp	648	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	649	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	650	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	651	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	652	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	653	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	654	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	655	False	153.9	153.9	160.0	-6.1	-6.1
3-09'23 hwp	656	False	164.8	164.8	170.9	-6.1	-6.1
3-09'23 hwp	657	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	658	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	659	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	660	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	661	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	662	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	663	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	664	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	665	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	666	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	667	False	35.0	35.0	35.0	0.0	0.0
3-09'23 hwp	668	False	33.6	33.6	33.6	0.0	0.0
3-09'23 hwp	669	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	670	False	51.7	51.7	51.7	0.0	0.0
3-09'23 hwp	671	False	38.5	38.5	18.0	20.5	20.5
3-09'23 hwp	672	False	38.5	38.5	38.5	0.0	0.0
3-09'23 hwp	673	False	22.5	22.5	22.5	0.0	0.0
3-09'23 hwp	674	False	22.5	22.5	22.5	0.0	0.0
3-09'23 hwp	675	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	676	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	677	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	678	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	679	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	680	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	681	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	682	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	683	False	38.5	38.5	38.5	0.0	0.0
3-09'23 hwp	684	False	77.1	77.1	77.1	0.0	0.0
3-09'23 hwp	685	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	686	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	687	False	21.5	21.5	21.5	0.0	0.0
3-09'23 hwp	688	False	21.0	21.0	21.0	0.0	0.0
3-09'23 hwp	689	False	21.0	21.0	21.0	0.0	0.0
3-09'23 hwp	690	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	691	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	692	False	20.0	20.0	20.0	0.0	0.0
3-09'23 hwp	693	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	694	False	36.1	36.1	36.1	0.0	0.0
3-09'23 hwp	695	True	38.0	93.9	93.9	0.0	-55.9
3-09'23 hwp	696	False	237.9	237.9	237.9	0.0	0.0
3-09'23 hwp	697	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	698	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	699	False	35.4	35.4	35.4	0.0	0.0
3-09'23 hwp	700	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	701	False	51.6	51.6	51.6	0.0	0.0
3-09'23 hwp	702	False	18.0	18.0	18.0	0.0	0.0
3-09'23 hwp	703	False	106.8	106.8	106.8	0.0	0.0
